M&A SDC Deal Number,Date Announced,Target Full Name,Acquiror Full Name,Date Effective,Acquiror 6-digit CUSIP,Target 6-digit CUSIP,SDC Deal No
4072354020,04/27/2023,CBOA Financial Inc,Bancorp 34 Inc,03/19/2024,05970V,1248E0,4072354020
4074349040,04/27/2023,Polydex Pharmaceuticals Ltd,BioSpectra Inc,08/09/2023,7N2756,731728,4074349040
4070667020,04/25/2023,Spectrum Pharmaceuticals Inc,Assertio Holdings Inc,07/27/2023,04546C,84763A,4070667020
4071899020,04/23/2023,Bed Bath & Beyond Inc,Bed Bath & Beyond Inc,09/29/2023,075896,075896,4071899020
4072351020,04/21/2023,GBX International Group Inc,Raymond C Dabney,04/21/2023,7N1679,361518,4072351020
4111433020,04/21/2023,Accelerate Diagnostics Inc,Creditors,06/13/2023,22542Z,00430H,4111433020
3933004040,04/20/2023,Tekmar Group PLC,Investor Group,04/20/2023,46145M,4H6479,3933004040
4040707040,04/19/2023,Altos Hornos De Mexico SA de CV,Argentem Creek Partners LP,04/19/2023,7N0091,02206I,4040707040
4067377020,04/18/2023,Muncy Bank Financial Inc,CCFNB Bancorp Inc,11/11/2023,124880,62600N,4067377020
4068467020,04/18/2023,Lockheed Martin Corp,Lockheed Martin Corp,04/18/2023,539830,539830,4068467020
4067804020,04/17/2023,Charah Solutions Inc,SER Capital Partners LLC,07/13/2023,5K0358,15957P,4067804020
4066521020,04/16/2023,Prometheus Biosciences Inc,Merck & Co Inc,06/16/2023,58933Y,74349U,4066521020
4068923020,04/13/2023,Consolidated Communications Holdings Inc,Consolidated Communications Holdings Inc SPV,12/27/2024,6N9424,209034,4068923020
4065477040,04/12/2023,Triton International Ltd,Brookfield Infrastructure Corp,09/28/2023,11275Q,G9078F,4065477040
4069642020,04/12/2023,TESSCO Technologies Inc,Alliance USAcqCo 2 Inc,07/17/2023,6N9423,872386,4069642020
4065082020,04/11/2023,Spectral MD Holdings Ltd,Rosecliff Acquisition Corp I,09/11/2023,77732R,5L8956,4065082020
4066407020,04/11/2023,National CineMedia Inc,Creditors,08/07/2023,22542Z,635309,4066407020
4171394020,04/11/2023,AiAdvertising Inc,Hexagon Partners LP,04/11/2023,42827A,7F2660,4171394020
4064687020,04/10/2023,Mexco Energy Corp,Mexco Energy Corp,04/30/2024,592770,592770,4064687020
4064861040,04/10/2023,HEXO Corp,Tilray Brands Inc,06/22/2023,88688T,428304,4064861040
4068461020,04/10/2023,Achison Inc,Barry Wan,04/10/2023,6N9017,7E4818,4068461020
4065576020,04/06/2023,Lucira Health Inc,Pfizer Inc,04/20/2023,717081,5J6938,4065576020
4139636040,04/04/2023,Li-Metal Corp,Mustang Vacuum Systems Inc,09/20/2023,9N6657,50203F,4139636040
4056750020,04/03/2023,Life Storage Inc,Extra Space Storage Inc,07/20/2023,30225T,53223X,4056750020
4061695020,04/03/2023,World Wrestling Entertainment Inc,UFC Holdings LLC,09/12/2023,6N4281,98156Q,4061695020
4061858020,04/03/2023,Heska Corp,Mars Inc,06/13/2023,57166Q,42805E,4061858020
4083476040,04/03/2023,Americanas SA,Investor Group,07/25/2024,46145M,7L6875,4083476040
4350704040,04/01/2023,Novacyt SA,Investor Group,04/01/2023,46145M,67564F,4350704040
4063499020,03/31/2023,Bioventus Inc,Bioventus Inc,01/18/2024,09075A,09075A,4063499020
4068856020,03/30/2023,Glatfelter Corp,Glatfelter Corp,03/30/2023,377320,377320,4068856020
4086047020,03/30/2023,GreenLight Biosciences Holdings PBC,SW ParentCo Inc,07/24/2023,0P1082,39536G,4086047020
4060184040,03/29/2023,Hanchang Corp,Titan Equity LLC,06/30/2023,0P4905,41148K,4060184040
4083370040,03/28/2023,Milestone Pharmaceuticals Inc,RTW Investments LP,03/31/2023,1H0652,59935V,4083370040
4122180020,03/28/2023,Battalion Oil Corp,Investor Group,03/28/2023,46145M,07134L,4122180020
4057066040,03/24/2023,Estia Health Ltd,Bain Capital LP,12/12/2023,1F3883,6A6961,4057066040
4058442040,03/23/2023,Tierra Agrotech Ltd,Bikkasani Purnachander Rao,03/23/2023,6N1016,7F8526,4058442040
4059705020,03/23/2023,US Silica Holdings Inc,US Silica Holdings Inc,03/23/2023,90346E,90346E,4059705020
4095740020,03/22/2023,Carvana Co,Bondholders,08/31/2023,09788F,146869,4095740020
4055170020,03/21/2023,US Xpress Enterprises Inc,Knight-Swift Transportation Holdings Inc,07/01/2023,499049,90338N,4055170020
4055359020,03/21/2023,Blackhawk Bancorp Inc,First Mid Bancshares Inc,08/15/2023,320866,09237E,4055359020
4056386040,03/21/2023,Nickel 28 Capital Corp,Pelham Investment Partners LP,04/26/2023,70571Q,5L7250,4056386040
4025522020,03/20/2023,Franchise Group Inc,Investor Group,08/21/2023,46145M,35180X,4025522020
4056128020,03/17/2023,WeWork Inc,Creditors,05/02/2023,22542Z,96209A,4056128020
4056606020,03/17/2023,WeWork Inc,WeWork Inc,05/02/2023,96209A,96209A,4056606020
4096885020,03/16/2023,ATI Physical Therapy Inc,Bondholders,06/15/2023,09788F,5L8212,4096885020
4033570020,03/14/2023,Cvent Holding Corp,Cvent Holding Corp SPV,06/15/2023,5N5998,126677,4033570020
4051878020,03/14/2023,Univar Solutions Inc,Univar Solutions Inc SPV,08/01/2023,5N5984,91336L,4051878020
4044786020,03/13/2023,Seagen Inc,Pfizer Inc,12/14/2023,717081,81181C,4044786020
4051578020,03/13/2023,Momentive Global Inc,STG Partners LLC,05/31/2023,87137Q,60878Y,4051578020
4058141040,03/13/2023,SRIVARU Holding Ltd,Mobiv Acquisition Corp,12/11/2023,60742N,G8403L,4058141040
4181382020,03/13/2023,Joann Inc,Joann Inc,03/13/2023,47768J,47768J,4181382020
4051133040,03/10/2023,Legendary Group Ltd,Investor Group,03/10/2023,46145M,G5450S,4051133040
4100082020,03/10/2023,Loyalty Ventures Inc,Loyalty Ventures Inc,06/02/2023,54911Q,54911Q,4100082020
4049307020,03/08/2023,Diversey Holdings Ltd,Olympus Water Holdings IV LP,07/05/2023,6C8307,G28923,4049307020
4049453020,03/08/2023,Kimball International Inc,HNI Corp,06/01/2023,404251,494274,4049453020
4048408040,03/07/2023,InvoCare Ltd,TPG Global LLC,11/24/2023,6C5859,45550Q,4048408040
4048059020,03/06/2023,Energy Harbor Corp,Vistra Corp,03/01/2024,92840M,0N0980,4048059020
4048276020,03/06/2023,"Peoples Bancorp of North Carolina Inc,Newton,North Carolina","Peoples Bancorp of North Carolina Inc,Newton,North Carolina",03/31/2024,710577,710577,4048276020
4048377020,03/06/2023,Corcept Therapeutics Inc,Corcept Therapeutics Inc,04/05/2023,218352,218352,4048377020
4058250040,03/06/2023,FansUnite Entertainment Inc,Investor Group,03/16/2023,46145M,30727R,4058250040
4047850040,03/03/2023,Optrontec Inc,Choisangho Corp,03/29/2023,5N3064,68479K,4047850040
4058552020,02/28/2023,Enviva Inc,Investor Group,03/20/2023,46145M,29415B,4058552020
4134163020,02/28/2023,Landos Biopharma Inc,Landos Biopharma Inc,02/28/2023,515069,515069,4134163020
4044950040,02/27/2023,Uni-Select Inc,LKQ Corp,08/01/2023,501889,90457D,4044950040
4044951020,02/27/2023,Broadmark Realty Capital Inc,Ready Capital Corp,05/31/2023,75574U,11135B,4044951020
4045331040,02/27/2023,Paycore Minerals Inc,i-80 Gold Corp,05/08/2023,44955L,70434D,4045331040
4047226040,02/27/2023,Comeco SA,International Labor Relations LLC,02/27/2023,5N2700,9J1958,4047226040
4046053020,02/23/2023,Par Pacific Holdings Inc,Bondholders,02/23/2023,09788F,69888T,4046053020
4043308020,02/22/2023,Partners Bancorp,LINKBANCORP Inc,11/30/2023,53578P,70213Q,4043308020
4042424040,02/21/2023,ATAC Resources Ltd,Hecla Mining Co,07/10/2023,422704,046491,4042424040
4040729020,02/16/2023,TravelCenters of America Inc,BP Products North America Inc,05/15/2023,03170F,4N8094,4040729020
4052440020,02/16/2023,Leidos Holdings Inc,Bondholders,02/23/2023,09788F,525327,4052440020
4040214020,02/15/2023,Ryder System Inc,Ryder System Inc,09/30/2023,783549,783549,4040214020
4042949020,02/14/2023,Avaya Holdings Corp,Creditors,05/01/2023,22542Z,01897X,4042949020
4039105020,02/13/2023,Banc of California Inc,Banc of California Inc,02/29/2024,05990K,05990K,4039105020
4039592020,02/13/2023,First Miami Bancorp Inc,United Community Banks Inc,07/01/2023,90984P,4N7187,4039592020
3830910020,02/09/2023,NuVasive Inc,Globus Medical Inc,09/01/2023,379577,670704,3830910020
4037599020,02/09/2023,Sumo Logic Inc,Francisco Partners Management LP,05/12/2023,35191A,86646P,4037599020
4038556040,02/09/2023,Otonomo Technologies Ltd,Urgently Inc,10/19/2023,3F7614,M7571L,4038556040
4043101040,02/09/2023,Softline Holding PLC,Corner Growth Acquisition Corp,07/26/2023,G2425N,9L7300,4043101040
4024408020,02/08/2023,Oak Street Health Inc,CVS Health Corp,05/02/2023,126650,67181A,4024408020
4037409040,02/08/2023,7digital Group PLC,Songtradr Inc,03/30/2023,0J9492,3F4754,4037409040
4037666020,02/08/2023,Cardiovascular Systems Inc,Abbott Laboratories,04/27/2023,002824,141619,4037666020
4035462040,02/06/2023,Newcrest Mining Ltd,Newmont Corp,11/06/2023,651639,Q6651B,4035462040
4035829020,02/06/2023,Affiliated Managers Group Inc,Affiliated Managers Group Inc,06/30/2023,008252,008252,4035829020
4036406020,02/06/2023,Bank of the James Financial Group Inc,Bank of the James Financial Group Inc,04/18/2023,470299,470299,4036406020
4036149020,02/03/2023,AlerisLife Inc,ABP Acquisition 2 LLC,03/20/2023,4N5090,33832D,4036149020
4041171040,02/03/2023,ATI Airtest Technologies Inc,Rbm Holdings Ltd,02/03/2023,4N8286,00208E,4041171040
4034514020,02/02/2023,Focus Financial Partners Inc,Focus Financial Partners Inc SPV,08/31/2023,5N1260,34417P,4034514020
4034678020,02/02/2023,Triumph Financial Inc,Triumph Financial Inc,04/28/2023,89679E,89679E,4034678020
4034691020,02/02/2023,Cardinal Health Inc,Cardinal Health Inc,02/28/2024,14149Y,14149Y,4034691020
4035278020,02/02/2023,Bill.com Holdings Inc,Bill.com Holdings Inc,08/22/2024,090043,090043,4035278020
4031757020,02/01/2023,Qualtrics International Inc,Quartz Holdco LLC,06/28/2023,5N3360,747601,4031757020
4151260020,02/01/2023,Nextracker Inc,Shareholders,01/02/2024,81949M,65290E,4151260020
4033327020,01/31/2023,Atlas Technical Consultants Inc,GI Manager LP,04/19/2023,37995A,049430,4033327020
4033533040,01/31/2023,Lithium Americas Corp,General Motors Co,02/16/2023,37045V,53680Q,4033533040
4033591020,01/31/2023,Western Digital Corp,Investor Group,01/31/2023,46145M,958102,4033591020
4046030020,01/31/2023,Invacare Corp,Creditors,05/05/2023,22542Z,461203,4046030020
4031795020,01/26/2023,Catalyst Bancorp Inc,Catalyst Bancorp Inc,04/27/2023,4N2162,4N2162,4031795020
4030038020,01/23/2023,Evoqua Water Technologies Corp,Xylem Inc,05/24/2023,98419M,30057T,4030038020
4030156020,01/23/2023,InterDigital Inc,InterDigital Inc,02/17/2023,45867G,45867G,4030156020
4030840020,01/23/2023,Bion Environmental Technologies Inc,Better Fed Foods LLC,01/23/2023,4N1499,09061Q,4030840020
4029493040,01/20/2023,Magnet Forensics Inc,Thoma Bravo LP,04/06/2023,88774R,55940P,4029493040
4085895020,01/20/2023,CapStar Financial Holdings Inc,CapStar Financial Holdings Inc,05/25/2023,14070T,14070T,4085895020
4028174020,01/18/2023,Volta Inc,Shell USA Inc,03/31/2023,8M6681,92873V,4028174020
4027634020,01/17/2023,National Instruments Corp,Emerson Electric Co,10/11/2023,291011,636518,4027634020
4027831040,01/17/2023,Neovasc Inc,Shockwave Medical Inc,04/11/2023,82489T,64065J,4027831040
4026473040,01/13/2023,DANTO HOLDINGS CORP,TAT Capital Fund LLC,01/31/2023,3N8380,23663A,4026473040
4027273020,01/13/2023,AnaptysBio Inc,AnaptysBio Inc,05/11/2023,032724,032724,4027273020
4026902040,01/12/2023,eDreams Odigeo SA,Bank of America Corp,01/12/2023,060505,67592A,4026902040
4027800040,01/10/2023,PT Cisarua Mountain Dairy Tbk,General Atlantic Service Co LP,01/10/2023,7H4532,9L6340,4027800040
4023823020,01/09/2023,CinCor Pharma Inc,AstraZeneca Finance & Holdings Inc,02/24/2023,3N7758,17240Y,4023823020
4023867020,01/09/2023,Albireo Pharma Inc,Ipsen Biopharmaceuticals Inc,03/02/2023,88078L,01345P,4023867020
4024005020,01/09/2023,Duck Creek Technologies Inc,Disco Parent LLC,03/30/2023,3N6924,1N5786,4024005020
4025114040,01/09/2023,Pagaya Technologies Ltd,Oak HC/FT Management Co LLC,01/09/2023,8C5403,4L5724,4025114040
4023662020,01/06/2023,iCoreConnect Inc,FG Merger Corp,08/25/2023,30324Y,3J3324,4023662020
4060256040,01/05/2023,Hero MotoCorp Ltd,GEF Capital Partners LLC,01/05/2023,6H7415,42767Q,4060256040
4022322020,01/03/2023,Horizon Global Corp,First Brands Group LLC,02/08/2023,0J1630,44052W,4022322020
4032878020,12/28/2022,Medicale Corp,Magenta Acres Inc,12/28/2022,4N2841,58464K,4032878020
4020132020,12/27/2022,Minerva Surgical Inc,Minerva Surgical Inc SPV,02/09/2023,5N6018,60343F,4020132020
4127432020,12/23/2022,Safe & Green Development Corp,Shareholders,09/28/2023,81949M,78637J,4127432020
4018838040,12/22/2022,eDreams Odigeo SA,Morgan Stanley,12/22/2022,617446,67592A,4018838040
4017224020,12/21/2022,Isoplexis Corp,Berkeley Lights Inc,03/21/2023,084310,465005,4017224020
4016515020,12/20/2022,"Brunswick Bancorp,New Brunswick,New Jersey",Mid Penn Bancorp Inc,05/19/2023,59540G,117030,4016515020
4015877020,12/19/2022,Qumu Corp,Enghouse Interactive Inc,02/08/2023,2N9946,749063,4015877020
4018233020,12/19/2022,Blucora Inc,Blucora Inc,02/24/2023,095229,095229,4018233020
4040176020,12/19/2022,Cooper-Standard Holdings Inc,Bondholders,01/30/2023,09788F,U2060R,4040176020
3992461020,12/18/2022,Aerojet Rocketdyne Holdings Inc,L3Harris Technologies Inc,07/28/2023,502431,007800,3992461020
4014370020,12/16/2022,Maxar Technologies Inc,Galileo Parent Inc,05/03/2023,3N1859,57778K,4014370020
4016122020,12/16/2022,Trean Insurance Group Inc,Altaris LLC,04/21/2023,02162Y,89457R,4016122020
4057335020,12/16/2022,Soleno Therapeutics Inc,Investor Group,01/17/2023,46145M,834203,4057335020
3965658040,12/15/2022,PT Garudafood Putra Putri Jaya Tbk,Hormel Foods Corp,12/15/2022,440452,69754P,3965658040
4013399020,12/14/2022,Malvern Bancorp Inc,"First Bank,Hamilton,NJ",07/17/2023,4A9869,561409,4013399020
4013716020,12/14/2022,The Community Financial Corp,Shore Bancshares Inc,07/01/2023,825107,89546L,4013716020
4054534040,12/14/2022,Gaussin SA,Amazon.com Inc,03/07/2023,023135,40188L,4054534040
4065995020,12/14/2022,Brandywine Realty Trust,Bondholders,12/20/2022,09788F,105368,4065995020
4012611040,12/13/2022,Lifezone Metals Ltd,GoGreen Investments Corp,07/06/2023,G9461B,2N7308,4012611040
4015593040,12/13/2022,IIFL Wealth Management Ltd,Capital Income Builder Inc,12/13/2022,1C7131,9A9476,4015593040
4012016020,12/12/2022,Coupa Software Inc,Project CS Parent LLC,02/28/2023,2N6990,22266L,4012016020
4012804020,12/12/2022,Helmerich & Payne Inc,Helmerich & Payne Inc,12/31/2023,423452,423452,4012804020
4013398020,12/12/2022,PSB Holding Corp,Summit Financial Group Inc,04/01/2023,86606G,693608,4013398020
4020146020,12/12/2022,Black Diamond Therapeutics Inc,Investor Group,12/12/2022,46145M,09203E,4020146020
4012060040,12/11/2022,London Stock Exchange Group PLC,Microsoft Corp,01/30/2023,594918,54210P,4012060040
4019077020,12/09/2022,Arcellx Inc,Gilead Sciences Inc,01/30/2023,375558,03940C,4019077020
4013350020,12/08/2022,Express Inc,WHP Global LLC,01/25/2023,5J3344,30219E,4013350020
4009317020,12/06/2022,Vivint Smart Home Inc,NRG Energy Inc,03/10/2023,629377,928542,4009317020
4009552020,12/06/2022,Territorial Bancorp Inc,Territorial Bancorp Inc,09/12/2023,88145X,88145X,4009552020
4009077020,12/05/2022,Salisbury Bancorp Inc,NBT Bancorp Inc,08/11/2023,628778,795226,4009077020
4009660040,12/05/2022,Mimi's Rock Corp,FitLife Brands Inc,02/28/2023,33817P,200508,4009660040
4068860020,12/01/2022,Pactiv Evergreen Inc,Bondholders,12/14/2022,09788F,69526K,4068860020
4006468020,11/29/2022,Apollo Endosurgery Inc,Boston Scientific Corp,04/04/2023,101137,03767D,4006468020
4006677020,11/29/2022,Horizon Therapeutics PLC,Pillartree Ltd,10/06/2023,2N6946,G46188,4006677020
4006791040,11/29/2022,Carbon Revolution Ltd,Twin Ridge Capital Acquisition Corp,11/06/2023,G9151L,2H8042,4006791040
4005983020,11/28/2022,INDUS Realty Trust Inc,Investor Group,06/29/2023,46145M,45580R,4005983020
4012190020,11/23/2022,Vaccinex Inc,Investor Group,11/23/2022,46145M,918640,4012190020
4003310020,11/21/2022,Imago BioSciences Inc,Merck Sharp & Dohme LLC,01/11/2023,2N0232,45250K,4003310020
4002830020,11/18/2022,Surrey Bancorp,First Community Bancshares Inc,04/21/2023,31983A,86888W,4002830020
4030694040,11/18/2022,Atento SA,Mci Bpo LC,01/09/2023,4N1396,L0427L,4030694040
4002850020,11/17/2022,Riverview Bancorp Inc,Riverview Bancorp Inc,05/05/2023,769397,769397,4002850020
4018543020,11/17/2022,Liberty Media Corp,Liberty Media Corp,07/18/2023,531229,531229,4018543020
4019413040,11/17/2022,DroneShield Ltd,Epirus Inc,11/21/2022,3M9401,5E6803,4019413040
4001745020,11/16/2022,Elevate Credit Inc,Park Cities Asset Management LLC,02/28/2023,1N9253,28621V,4001745020
4002215020,11/16/2022,Sonos Inc,Sonos Inc,11/15/2023,83294F,83294F,4002215020
4004220040,11/16/2022,Toro Corp,Shareholders,03/07/2023,81949M,Y8900D,4004220040
4077989020,11/16/2022,Marathon Bancorp Inc,Marathon Bancorp Inc,05/10/2023,565759,565759,4077989020
4000450020,11/14/2022,Opiant Pharmaceuticals Inc,Indivior Inc,03/02/2023,1N8352,53270X,4000450020
4000499020,11/14/2022,Daseke Inc,Daseke Inc,11/21/2022,23753F,23753F,4000499020
4000527020,11/14/2022,HireRight Holdings Corp,HireRight Holdings Corp,06/22/2023,433537,433537,4000527020
4001601020,11/14/2022,TrueCar Inc,AutoNation Inc,11/14/2022,05329W,86009T,4001601020
4001613020,11/14/2022,Azenta Inc,Azenta Inc,04/23/2023,114340,114340,4001613020
4019136020,11/14/2022,Charah Solutions Inc,Bernhard Capital Partners Management LP,11/14/2022,8C4778,15957P,4019136020
4000174020,11/13/2022,Luther Burbank Corp,WaFd Inc,02/29/2024,938824,550550,4000174020
3999380020,11/10/2022,The Beauty Health Co,The Beauty Health Co,04/30/2023,88331L,88331L,3999380020
3998354020,11/08/2022,DuPont de Nemours Inc,DuPont de Nemours Inc,09/06/2023,26614N,26614N,3998354020
4036426020,11/08/2022,Haemonetics Corp,Haemonetics Corp,11/08/2022,405024,405024,4036426020
3997658020,11/07/2022,Velodyne Lidar Inc,Ouster Inc,02/10/2023,68989M,92259F,3997658020
3997663020,11/07/2022,Oyster Point Pharma Inc,Viatris Inc,01/03/2023,92556V,69242L,3997663020
3997701020,11/07/2022,Triumph Bancorp Inc,Triumph Bancorp Inc,12/07/2022,0C6756,0C6756,3997701020
3998156020,11/07/2022,Certara Inc,Arsenal Capital Partners LP,12/08/2022,04297Z,15687V,3998156020
3998353020,11/07/2022,DuPont de Nemours Inc,DuPont de Nemours Inc,08/03/2023,26614N,26614N,3998353020
4002175020,11/07/2022,Avra Medical Robotics Inc,CardioVentures Inc,04/14/2023,1N9563,6F2375,4002175020
3997128020,11/04/2022,Cardinal Health Inc,Cardinal Health Inc,02/02/2023,14149Y,14149Y,3997128020
3997675020,11/03/2022,Crown Holdings Inc,Icahn Capital LP,11/03/2022,47197P,228368,3997675020
3995248020,11/01/2022,ABIOMED Inc,Johnson & Johnson,12/22/2022,478160,003654,3995248020
3995424020,11/01/2022,Benefitfocus Inc,Voya Financial Inc,01/24/2023,929089,08180D,3995424020
3997142020,10/31/2022,Align Technology Inc,Align Technology Inc,03/31/2023,016255,016255,3997142020
4082826040,10/28/2022,Brondbyernes IF Fodbold A/S,Global Football Holdings LP,12/27/2022,9N6038,4F8306,4082826040
3993402020,10/27/2022,Altra Industrial Motion Corp,Regal Rexnord Corp,03/27/2023,758750,02208R,3993402020
3993428020,10/27/2022,UserTesting Inc,Thunder Holdings LLC,01/12/2023,1N3812,91734E,3993428020
4002840020,10/27/2022,FirstCash Holdings Inc,FirstCash Holdings Inc,07/31/2023,33768G,33768G,4002840020
3997218020,10/26/2022,Berkshire Bancorp Inc,TBB Investments LLC,10/26/2022,1N5961,084597,3997218020
3992400020,10/25/2022,Limestone Bancorp Inc,"Peoples Bancorp Inc,Marietta,Ohio",04/30/2023,709789,53262L,3992400020
3993352040,10/25/2022,Costa Group Holdings Ltd,Paine Schwartz Partners LLC,10/25/2022,8M3622,9C3342,3993352040
3992208020,10/24/2022,Weber Inc,BDT Capital Partners LLC,02/21/2023,06394L,94770D,3992208020
3992476040,10/24/2022,Franchise Global Health Inc,Flora Growth Corp,12/23/2022,339764,6M5364,3992476040
3993697020,10/24/2022,AgroFresh Solutions Inc,Paine Schwartz Partners LLC,03/31/2023,8M3622,00856G,3993697020
3989980020,10/19/2022,Ayala Pharmaceuticals Inc,Advaxis Inc,01/19/2023,007624,05465V,3989980020
3990014020,10/19/2022,HV Bancorp Inc,Citizens Financial Services Inc,06/16/2023,174615,8E5915,3990014020
3989580020,10/18/2022,Akouos Inc,Eli Lilly & Co,12/01/2022,532457,00973J,3989580020
3989873020,10/18/2022,Citizens Commerce Bancshares Inc,"City Holding Co,Charleston, West Virginia",03/10/2023,177835,1N1814,3989873020
4069249020,10/18/2022,Lockheed Martin Corp,Lockheed Martin Corp,04/18/2023,539830,539830,4069249020
3990024020,10/14/2022,The Howard Hughes Corp,Investor Group,11/30/2022,46145M,44267D,3990024020
3989413040,10/12/2022,Alternus Energy Group PLC,Clean Earth Acquisitions Corp,12/22/2023,184493,9K7069,3989413040
3986992020,10/11/2022,ForgeRock Inc,Thoma Bravo LP,08/23/2023,88774R,34631B,3986992020
3987181020,10/11/2022,SeaSpine Holdings Corp,Orthofix Medical Inc,01/05/2023,68752M,81255T,3987181020
3987591020,10/11/2022,El Pollo Loco Holdings Inc,El Pollo Loco Holdings Inc,07/12/2023,268603,268603,3987591020
3987605020,10/11/2022,Earthstone Energy Inc,Earthstone Energy Inc,10/11/2022,27032D,27032D,3987605020
4011885020,10/11/2022,Joby Aviation Inc,Delta Air Lines Inc,10/11/2022,247361,G65163,4011885020
3987000040,10/10/2022,Automotive Axles Ltd,Cummins Inc,01/13/2023,231021,05317R,3987000040
3986284040,10/07/2022,Global Connectivity PLC,Tiger Infrastructure Partners Fund III LP,10/07/2022,0N8997,2R0683,3986284040
3986563020,10/04/2022,First Eagle Alternative Capital BDC Inc,Crescent Capital BDC Inc,03/09/2023,0N9239,26943B,3986563020
3984432020,10/03/2022,Logicbio Therapeutics Inc,"Alexion, AstraZeneca Rare Disease",11/16/2022,0N7840,54142F,3984432020
3985368020,10/03/2022,Bogota Financial Corp,Bogota Financial Corp,05/03/2023,097235,097235,3985368020
4021951040,10/01/2022,Medicalgorithmics SA,Biofund Capital Management LLC,11/29/2022,3N1151,58779J,4021951040
3982987020,09/28/2022,Guidewire Software Inc,Guidewire Software Inc,02/28/2023,40171V,40171V,3982987020
3985392020,09/28/2022,ICC Holdings Inc,ICC Holdings Inc,09/28/2022,44931Q,44931Q,3985392020
3989181020,09/28/2022,Abraxas Petroleum Corp,Biglari Holdings Inc,10/03/2022,08986R,003830,3989181020
3981301020,09/27/2022,Lakeland Bancorp Inc,Provident Financial Services Inc,05/15/2024,74386T,511637,3981301020
3981477020,09/27/2022,The Beauty Health Co,The Beauty Health Co,05/10/2023,88331L,88331L,3981477020
3980719020,09/26/2022,GX Acquisition Corp II,NioCorp Developments Ltd,03/17/2023,654484,36260F,3980719020
3981365040,09/26/2022,Corporacion Actinver SAB de CV,ACON Latin America Opportunities Fund V LP,09/26/2022,6L0718,21971H,3981365040
4031671020,09/22/2022,Royal Caribbean Cruises Ltd,Royal Caribbean Cruises Ltd,10/06/2022,V7780T,V7780T,4031671020
3977684020,09/21/2022,Tuesday Morning Corp,Tuesday Morning Corp SPV,09/21/2022,0N3579,899035,3977684020
3978426020,09/21/2022,HarborOne Bancorp Inc,HarborOne Bancorp Inc,06/30/2023,4E0962,4E0962,3978426020
3976941020,09/20/2022,Renovacor Inc,Rocket Pharmaceuticals Inc,12/01/2022,77313F,8L4768,3976941020
3976131020,09/19/2022,KnowBe4 Inc,Vista Equity Partners Management LLC,02/01/2023,93030H,49926T,3976131020
4013637040,09/19/2022,Micro-X Ltd,Varex Imaging Corp,12/15/2022,0K2060,2E4195,4013637040
3975210040,09/16/2022,Kahoot! ASA,General Atlantic LP,11/02/2022,36889W,3J6220,3975210040
3976974020,09/16/2022,Electric Last Mile Solutions Inc,Mullen Automotive Inc,11/30/2022,9M9353,28489L,3976974020
4065094020,09/16/2022,Mondee Holdings Inc,Mondee Holdings Inc,10/17/2022,465712,465712,4065094020
3974828020,09/15/2022,Marqeta Inc,Marqeta Inc,03/31/2023,57142B,57142B,3974828020
3976849020,09/15/2022,Pilgrim's Pride Corp,Bondholders,02/16/2023,09788F,721467,3976849020
4062532020,09/15/2022,Reinsurance Group of America Inc,Bondholders,09/22/2022,09788F,759351,4062532020
3974280020,09/14/2022,Johnson & Johnson,Johnson & Johnson,04/02/2023,478160,478160,3974280020
3974492020,09/14/2022,Compass Minerals International Inc,Koch Minerals & Trading LLC,10/18/2022,3K5566,20451N,3974492020
3985850020,09/12/2022,Driven Brands Holdings Inc,EMP Management LLC,09/12/2022,7A9208,26210V,3985850020
4043530020,09/12/2022,ADT Inc,ADT Inc,10/26/2022,00090Q,00090Q,4043530020
3970859020,09/06/2022,Brigham Minerals Inc,Sitio Royalties Corp,12/29/2022,82982V,1J7891,3970859020
3970909020,09/06/2022,ADT Inc,State Farm Fire & Casualty Co,10/13/2022,9M8507,00090Q,3970909020
3971041020,09/06/2022,ChannelAdvisor Corp,CommerceHub Inc,11/15/2022,9E2445,159179,3971041020
3958914020,09/05/2022,Signify Health Inc,CVS Health Corp,03/29/2023,126650,82671G,3958914020
3978554040,09/02/2022,Pacific Ridge Exploration Ltd,Investor Group,09/22/2022,46145M,694798,3978554040
3987138040,09/01/2022,Brixton Metals Corp,Investor Group,09/15/2022,46145M,11120Q,3987138040
3968454020,08/31/2022,Nitro Software Ltd,Nitro Software Ltd SPV,04/14/2023,9M6413,1E1084,3968454020
3970959020,08/31/2022,Emtec Inc,Kelso & Co LP,08/31/2022,48822Q,292468,3970959020
3968328020,08/30/2022,Civeo Corp,Civeo Corp,07/31/2023,17878Y,17878Y,3968328020
3968336040,08/30/2022,Diurnal Group PLC,Neurocrine Biosciences Inc,11/01/2022,64125C,1E9237,3968336040
3968378020,08/30/2022,Rodedawg International Industries Inc,Budding Horizon LLC,08/30/2022,9M6364,774853,3968378020
3968470020,08/30/2022,Centric Financial Corp,First Commonwealth Financial Corp,02/01/2023,319829,15641J,3968470020
3970469040,08/29/2022,Massmart Holdings Ltd,Walmart Inc,11/23/2022,931142,57629F,3970469040
3967681040,08/26/2022,Lindian Resources Ltd,Rohan Patnaik,08/26/2022,9M5951,53550R,3967681040
3967564040,08/24/2022,Play Magnus AS,Chess GrowthCo LLC,12/16/2022,9M5825,1K2173,3967564040
